title,description,source,publishedAt
Indian IT Was Supposed To Die From AI. Instead It's Billing for the Cleanup.,"Two years after generative AI was supposed to render India's $250 billion IT services industry obsolete, the sector is finding that enterprises still need someone to handle the unglamorous plumbing work that large-scale AI deployment demands. Less than 15% of…",Slashdot.org,2025-12-26T18:40:00Z
"Indian top IT firms set for another tepid quarter on weak US demand, client spending","India's information technology firms are expected to report another muted quarter, as tepid demand in the U.S. and holiday-period client shutdowns continue...",Yahoo Entertainment,2026-01-08T05:15:02Z
Oracle made a $300 billion bet on OpenAI. It's paying the price.,Investors are wary of Oracle's reliance on OpenAI.,Yahoo Entertainment,2025-12-11T20:54:41Z
Lego’s Smart Brick Gives the Iconic Analog Toy a New Digital Brain,The new sensor-packed Smart Play Brick will land this spring as part of a special Star Wars collection. The update adds interactive lights and sound to the Lego experience—including the Minifigs.,Wired,2026-01-05T19:00:00Z
Border Patrol Bets on Small Drones to Expand US Surveillance Reach,"Federal records show CBP is moving from testing small drones to making them standard surveillance tools, expanding a network that can follow activity in real time and extend well beyond the border.",Wired,2025-12-17T18:12:24Z
"South Korea’s climate pledge to cut coal, lower emissions clash with US push for LNG purchases","South Korea is promising to shrink its reliance on coal power as part of its pledge to reduce carbon emissions that contribute to climate change, but that...",Yahoo Entertainment,2025-12-29T05:09:25Z
How Dependabot Actually Works,"Inside dependabot-core’s architecture, its reliance on proprietary GitHub infrastructure, and open source alternatives",Nesbitt.io,2026-01-02T23:44:04Z
PayPal Applies To Become a Bank As US Loosens Regulatory Reins,"PayPal has applied to become a US bank by forming a Utah-chartered industrial loan company, signaling a push to deepen its financial services ""as companies rush to capitalize on a friendly regulatory environment under the Trump administration,"" reports Reuter…",Slashdot.org,2025-12-16T10:00:00Z
More than half of researchers now use AI for peer review — often against guidance,Policies should reflect the ‘new reality’ of researchers’ increasing reliance on tools that can summarize manuscripts and draft reports.,Nature.com,2025-12-15T00:00:00Z
India’s 10 most valuable companies in 2026: Reliance leads as 7 of the top 10 gain Rs 1.23 lakh crore market cap,"India's 10 most valuable companies in 2026 list: Other notable gainers included HDFC Bank and Bharti Airtel. However, Tata Consultancy Services (TCS) and Bajaj Finance saw drops in their valuations.",The Indian Express,2026-01-05T07:51:52Z
Cybertruck owner attempts to trade vehicle after facing relentless harassment: 'My wife and kids don't deserve this',"""That ignorant mentality might have someone throw a rock at the truck next time if we don’t stick out and tell these freaks to stop.""",Yahoo Entertainment,2025-12-13T23:00:00Z
Mirai Owners Suing Toyota Because Hydrogen Is The Most Common Element In The Universe But It's Damn Difficult To Find On Earth,"The Mirai's reliance on fuel cell technology requires hydrogen filling stations, which are pretty much non-existent in the U.S.",Jalopnik,2025-12-25T04:25:00Z
